	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	209.69, 0	219.95, 0	230.42, 0	240.72, 0	250.63, 0	260.10, 0	269.12, 0	277.67, 0	287.08, 5	296.56, 5	305.64, 5	314.26, 5	322.37, 5	329.97, 5	337.07, 5	343.68, 5	349.83, 5	355.54, 5	360.83, 5	365.71, 5	370.20, 5	
1	221.84, 0	232.61, 0	244.01, 0	255.09, 0	265.37, 0	274.95, 0	283.98, 0	292.54, 1	301.04, 1	309.23, 2	317.98, 5	326.41, 5	334.32, 5	341.70, 5	348.58, 5	354.96, 5	360.89, 5	366.37, 5	371.43, 5	376.09, 5	380.34, 5	
2	237.48, 0	248.55, 0	260.49, 0	272.00, 0	282.47, 0	292.08, 0	301.09, 0	309.57, 0	317.56, 0	325.09, 0	332.47, 1	339.44, 1	345.99, 1	352.67, 5	359.32, 5	365.48, 5	371.18, 5	376.44, 5	381.27, 5	385.69, 5	389.73, 5	
3	254.14, 0	265.17, 0	277.03, 0	288.46, 0	298.85, 0	308.39, 0	317.31, 0	325.72, 0	333.64, 0	341.09, 0	348.08, 0	354.65, 0	360.83, 0	366.62, 0	372.05, 0	377.12, 0	381.83, 0	386.19, 0	390.31, 5	394.52, 5	398.35, 5	
4	269.86, -1	280.66, -1	291.91, -1	302.88, 0	313.11, 0	322.52, 0	331.34, 0	339.63, 0	347.43, 0	354.76, 0	361.63, 0	368.07, 0	374.11, 0	379.76, 0	385.04, 0	389.95, 0	394.50, 0	398.68, 0	402.49, 0	405.89, 0	408.80, 0	
5	284.69, -2	295.03, -2	305.59, -1	316.04, -1	325.75, 0	335.03, 0	343.69, 0	351.83, 0	359.48, 0	366.64, 0	373.35, 0	379.62, 0	385.48, 0	390.94, 0	396.03, 0	400.74, 0	405.10, 0	409.09, 0	412.70, 0	415.91, 0	418.65, 0	
6	297.72, -2	307.96, -2	318.16, -2	328.27, -1	337.71, -1	346.59, 0	355.09, 0	363.04, 0	370.50, 0	377.47, 0	383.99, 0	390.07, 0	395.73, 0	400.99, 0	405.87, 0	410.38, 0	414.52, 0	418.31, 0	421.72, 0	424.73, 0	427.29, 0	
7	309.85, -2	320.01, -2	330.09, -2	339.80, -1	349.09, -1	357.65, -1	365.82, 0	373.57, 0	380.82, 0	387.58, 0	393.89, 0	399.76, 0	405.22, 0	410.28, 0	414.96, 0	419.26, 0	423.20, 0	426.78, 0	430.00, 0	432.82, 0	435.21, 0	
8	321.59, -3	331.53, -2	341.49, -2	350.83, -2	359.89, -1	368.27, -1	376.06, -1	383.52, 0	390.54, 0	397.09, 0	403.18, 0	408.85, 0	414.09, 0	418.95, 0	423.42, 0	427.53, 0	431.27, 0	434.66, 0	437.69, 0	440.34, 0	442.57, 0	
9	333.00, -3	342.56, -3	352.37, -2	361.55, -2	370.15, -1	378.34, -1	385.93, -1	392.99, -1	399.75, 0	406.07, 0	411.94, 0	417.39, 0	422.43, 0	427.08, 0	431.35, 0	435.26, 0	438.82, 0	442.03, 0	444.88, 0	447.37, 0	449.46, 0	
10	343.92, -3	353.37, -3	362.71, -2	371.74, -2	379.99, -2	387.90, -1	395.27, -1	402.12, -1	408.49, 0	414.58, 0	420.23, 0	425.46, 0	430.29, 0	434.74, 0	438.82, 0	442.55, 0	445.93, 0	448.97, 0	451.66, 0	454.00, 0	455.96, 0	
11	354.32, -3	363.66, -3	372.56, -2	381.42, -2	389.49, -2	397.00, -1	404.16, -1	410.78, -1	416.93, -1	422.68, 0	428.11, 0	433.13, 0	437.76, 0	442.02, 0	445.91, 0	449.46, 0	452.68, 0	455.56, 0	458.11, 0	460.31, 0	462.15, 0	
12	364.21, -3	373.45, -3	382.19, -3	390.64, -2	398.52, -2	405.73, -2	412.62, -1	419.03, -1	424.96, -1	430.45, -1	435.63, 0	440.45, 0	444.89, 0	448.96, 0	452.69, 0	456.09, 0	459.15, 0	461.90, 0	464.32, 0	466.41, 0	468.16, 0	
13	373.65, -3	382.78, -3	391.37, -3	399.44, -2	407.14, -2	414.14, -2	420.71, -1	426.90, -1	432.62, -1	437.91, -1	442.83, 0	447.47, 0	451.73, 0	455.65, 0	459.24, 0	462.49, 0	465.44, 0	468.07, 0	470.40, 0	472.40, 0	474.08, 0	
14	382.87, -4	391.69, -3	400.12, -3	407.85, -2	415.37, -2	422.17, -2	428.44, -1	434.44, -1	439.96, -1	445.06, -1	449.77, -1	454.24, 0	458.36, 0	462.15, 0	465.62, 0	468.77, 0	471.63, 0	474.18, 0	476.44, 0	478.38, 0	480.01, 0	
15	391.74, -4	400.20, -3	408.49, -3	416.02, -3	423.23, -2	429.85, -2	435.90, -2	441.66, -1	447.01, -1	451.94, -1	456.49, -1	460.82, 0	464.83, 0	468.52, 0	471.91, 0	474.99, 0	477.79, 0	480.30, 0	482.52, 0	484.44, 0	486.05, 0	
