	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
10	264.84, -3	274.16, -3	282.99, -2	291.73, -2	299.40, -2	306.19, -2	312.41, -1	318.08, -1	323.12, -1	327.62, -1	331.59, -1	335.09, -1	338.14, -1	340.76, -1	342.96, -1	344.73, -1	346.08, -1	347.01, -1	347.55, -1	347.73, -1	346.99, 0	
11	276.60, -3	285.78, -3	294.39, -3	302.59, -2	310.02, -2	316.55, -2	322.36, -2	327.67, -1	332.46, -1	336.70, -1	340.44, -1	343.71, -1	346.53, -1	348.92, -1	350.89, -1	352.43, -1	353.55, -1	354.23, -1	354.52, -1	354.47, -1	353.30, 0	
12	287.77, -3	296.82, -3	305.23, -3	312.91, -2	320.10, -2	326.39, -2	331.94, -2	336.87, -2	341.33, -1	345.32, -1	348.82, -1	351.86, -1	354.46, -1	356.63, -1	358.37, -1	359.69, -1	360.57, -1	361.02, -1	361.08, -1	360.80, -1	359.29, 0	
13	298.38, -3	307.30, -3	315.54, -3	322.82, -3	329.71, -2	335.74, -2	341.04, -2	345.72, -2	349.86, -2	353.53, -1	356.79, -1	359.61, -1	361.98, -1	363.93, -1	365.46, -1	366.56, -1	367.22, -1	367.45, -1	367.29, -1	366.82, -1	365.07, 0	
14	308.86, -4	317.30, -3	325.35, -3	332.42, -3	338.87, -2	344.66, -2	349.72, -2	354.15, -2	358.05, -2	361.46, -2	364.41, -1	367.00, -1	369.17, -1	370.91, -1	372.23, -1	373.13, -1	373.59, -1	373.63, -1	373.29, -1	372.66, -1	370.87, 0	
15	318.84, -4	326.82, -3	334.71, -3	341.57, -3	347.61, -2	353.18, -2	358.01, -2	362.21, -2	365.88, -2	369.06, -2	371.80, -2	374.14, -1	376.11, -1	377.67, -1	378.81, -1	379.53, -1	379.83, -1	379.73, -1	379.26, -1	378.54, -1	376.97, 0	
16	328.36, -4	336.03, -4	343.64, -3	350.30, -3	356.00, -3	361.34, -2	365.95, -2	369.95, -2	373.41, -2	376.39, -2	378.93, -2	381.15, -1	382.97, -1	384.38, -1	385.39, -1	385.99, -1	386.18, -1	386.00, -1	385.49, -1	384.76, -1	383.74, 0	
17	337.45, -4	344.96, -4	352.16, -3	358.64, -3	364.14, -3	369.16, -2	373.61, -2	377.44, -2	380.74, -2	383.57, -2	386.04, -1	388.19, -1	389.93, -1	391.27, -1	392.21, -1	392.86, 0	393.23, 0	393.23, 0	392.89, 0	392.29, 0	391.55, 0	
18	346.12, -4	353.48, -4	360.29, -3	366.62, -3	371.97, -3	376.69, -2	381.04, -2	384.77, -2	387.99, -2	390.73, -2	393.26, -1	395.42, -1	397.18, -1	398.55, -1	399.71, 0	400.61, 0	401.15, 0	401.35, 0	401.25, 0	400.90, 0	400.43, 0	
19	354.38, -4	361.62, -4	368.02, -3	374.25, -3	379.50, -3	383.98, -3	388.25, -2	392.01, -2	395.24, -2	398.01, -2	400.56, -1	402.86, -1	404.77, -1	406.29, -1	407.45, -1	408.58, 0	409.38, 0	409.85, 0	410.04, 0	410.00, 0	409.80, 0	
20	362.20, -4	369.43, -4	375.92, -3	382.35, -3	388.55, -1	396.28, 0	402.67, 0	408.13, 0	412.93, 0	417.17, 0	420.91, 0	424.17, 0	427.00, 0	429.43, 0	431.47, 0	433.15, 0	434.49, 0	435.52, 0	436.28, 0	436.81, 0	437.21, 0	
