	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	110.66, 0	121.00, 0	131.56, 0	141.83, 0	151.47, 0	161.65, 5	171.64, 5	181.48, 5	191.00, 5	200.01, 5	208.35, 5	215.92, 5	222.69, 5	228.70, 5	233.99, 5	238.63, 5	242.68, 5	246.19, 5	249.20, 5	251.75, 5	253.87, 5	
1	123.48, 0	134.49, 0	146.30, 0	157.62, 0	167.80, 0	176.95, 0	185.81, 1	195.49, 5	204.93, 5	213.79, 5	221.90, 5	229.21, 5	235.71, 5	241.43, 5	246.44, 5	250.82, 5	254.62, 5	257.90, 5	260.70, 5	263.07, 5	265.02, 5	
2	141.05, 0	152.50, 0	165.12, 0	177.12, 0	187.64, 0	196.90, 0	205.27, 0	212.89, 0	220.24, 1	226.98, 1	234.63, 5	241.68, 5	247.89, 5	253.32, 5	258.06, 5	262.18, 5	265.74, 5	268.79, 5	271.39, 5	273.56, 5	275.33, 5	
3	160.37, 0	171.81, 0	184.41, 0	196.40, 0	206.88, 0	216.09, 0	224.41, 0	231.99, 0	238.88, 0	245.14, 0	250.81, 0	255.94, 0	260.56, 0	264.69, 0	268.78, 5	272.64, 5	275.97, 5	278.80, 5	281.19, 5	283.17, 5	284.74, 5	
4	179.98, -2	190.71, -2	202.28, -1	213.21, -1	223.34, 0	232.41, 0	240.59, 0	248.03, 0	254.80, 0	260.92, 0	266.46, 0	271.47, 0	275.96, 0	279.99, 0	283.57, 0	286.72, 0	289.45, 0	291.78, 0	293.71, 0	295.26, 0	296.44, 0	
5	197.31, -2	207.80, -2	218.36, -2	228.62, -1	238.01, -1	246.53, 0	254.51, 0	261.74, 0	268.29, 0	274.21, 0	279.53, 0	284.32, 0	288.60, 0	292.42, 0	295.80, 0	298.75, 0	301.29, 0	303.43, 0	305.17, 0	306.52, 0	307.51, 0	
6	212.43, -3	222.47, -2	232.80, -2	242.42, -1	251.61, -1	259.79, -1	267.20, 0	274.18, 0	280.48, 0	286.14, 0	291.22, 0	295.76, 0	299.81, 0	303.39, 0	306.53, 0	309.25, 0	311.57, 0	313.47, 0	314.98, 0	316.09, 0	316.85, 0	
7	226.20, -3	236.07, -2	246.23, -2	255.57, -2	264.36, -1	272.31, -1	279.46, -1	285.92, -1	291.86, 0	297.25, 0	302.07, 0	306.36, 0	310.16, 0	313.51, 0	316.42, 0	318.91, 0	320.98, 0	322.65, 0	323.91, 0	324.77, 0	325.28, 0	
8	239.53, -3	249.12, -3	259.08, -2	268.22, -2	276.46, -1	284.17, -1	291.05, -1	297.25, -1	302.82, -1	307.83, -1	312.30, -1	316.32, 0	319.88, 0	322.99, 0	325.67, 0	327.92, 0	329.76, 0	331.18, 0	332.19, 0	332.79, 0	333.04, 0	
9	252.46, -3	261.91, -3	271.34, -2	280.29, -2	288.19, -2	295.40, -1	302.03, -1	307.95, -1	313.26, -1	318.01, -1	322.23, -1	325.97, -1	329.25, -1	332.10, -1	334.52, -1	336.53, -1	338.12, -1	339.30, -1	340.08, -1	340.52, -1	340.26, 0	
